Location1,Cat Owning Households,Cat Population,Dog Owning Households,Dog Population,F1,Households,Mean Number of Cats,Mean Number of Dogs per household,Number of Pet Households,Percentage of Cat Owners,Percentage of Dog Owners,Percentage of households with pets,sum 
Alabama,501000,1252000,807000,1410000,0,1828000,2.5,1.7,1088000,0.274,0.441,0.595,1252000
Arizona,743000,1438000,1008000,1798000,1,2515000,1.9,1.8,1497000,0.296,0.401,0.595,1438000
Arkansas,351000,810000,550000,1097000,2,1148000,2.3,2,716000,0.306,0.479,0.624,810000
California,3687000,7118000,4260000,6687000,3,12974000,1.9,1.6,6865000,0.283,0.328,0.529,7118000
Colorado,642000,1191000,845000,1349000,4,1986000,1.9,1.6,1217000,0.323,0.425,0.613,1191000
Connecticut,427000,796000,379000,507000,5,1337000,1.9,1.3,728000,0.319,0.283,0.544,796000
Delaware,113000,187000,113000,163000,6,334000,1.7,1.4,189000,0.337,0.337,0.566,187000
District of Columbia,33000,63000,38000,42000,7,287000,1.9,1.1,63000,0.116,0.131,0.219,63000
Florida,2079000,4375000,2718000,4210000,8,7609000,2.1,1.5,4138000,0.273,0.357,0.544,4375000
Georgia,1037000,2162000,1522000,2479000,9,3798000,2.1,1.6,2093000,0.273,0.401,0.551,2162000
Idaho,196000,393000,242000,357000,10,568000,2,1.5,352000,0.346,0.427,0.62,393000
Illinois,1321000,2453000,1627000,2365000,11,5026000,1.9,1.5,2602000,0.263,0.324,0.518,2453000
Indiana,852000,1912000,989000,1619000,12,2478000,2.2,1.6,1484000,0.344,0.399,0.599,1912000
Iowa,370000,805000,407000,610000,13,1219000,2.2,1.5,654000,0.303,0.334,0.536,805000
Kansas,378000,731000,480000,774000,14,1133000,1.9,1.6,691000,0.333,0.423,0.61,731000
Kentucky,654000,1349000,816000,1531000,15,1777000,2.1,1.9,1094000,0.368,0.459,0.616,1349000
Louisiana,441000,877000,619000,1115000,16,1702000,2,1.8,937000,0.259,0.364,0.551,877000
Maine,254000,498000,190000,300000,17,548000,1.9,1.6,345000,0.464,0.346,0.629,498000
Maryland,645000,1677000,667000,915000,18,2169000,2.6,1.4,1134000,0.298,0.308,0.523,1677000
Massachusetts,892000,1593000,618000,850000,19,2618000,1.8,1.4,1318000,0.341,0.236,0.504,1593000
Michigan,1192000,2420000,1318000,2036000,20,3804000,2,1.5,2108000,0.313,0.346,0.554,2420000
Minnesota,643000,1264000,690000,934000,21,2163000,2,1.4,1146000,0.297,0.319,0.53,1264000
Mississippi,324000,668000,504000,846000,22,1115000,2.1,1.7,629000,0.291,0.452,0.564,668000
Missouri,805000,1653000,1148000,1978000,23,2498000,2.1,1.7,1534000,0.322,0.459,0.614,1653000
Montana,138000,277000,169000,282000,24,410000,2,1.7,251000,0.336,0.412,0.613,277000
Nebraska,222000,514000,240000,374000,25,710000,2.3,1.6,364000,0.313,0.338,0.513,514000
Nevada,299000,625000,366000,578000,26,986000,2.1,1.6,548000,0.303,0.371,0.556,625000
New Hampshire,174000,309000,154000,212000,27,508000,1.8,1.4,289000,0.342,0.303,0.568,309000
New Jersey,803000,1468000,1028000,1340000,28,3177000,1.8,1.3,1611000,0.253,0.324,0.507,1468000
New Mexico,247000,533000,356000,703000,29,773000,2.2,2,523000,0.32,0.46,0.676,533000
New York,2189000,4261000,2177000,3054000,30,7512000,1.9,1.4,3802000,0.291,0.29,0.506,4261000
North Carolina,1090000,2220000,1491000,2518000,31,3701000,2,1.7,2089000,0.295,0.403,0.564,2220000
North Dakota,85000,174000,98000,139000,32,272000,2,1.4,147000,0.314,0.361,0.539,174000
Ohio,1553000,3786000,1708000,2730000,33,4661000,2.4,1.6,2677000,0.333,0.366,0.574,3786000
Oklahoma,482000,1041000,638000,1327000,34,1479000,2.2,2.1,872000,0.326,0.432,0.589,1041000
Oregon,605000,1185000,584000,917000,35,1505000,2,1.6,957000,0.402,0.388,0.636,1185000
Pennsylvania,1748000,3544000,1702000,2485000,36,5172000,2,1.5,2942000,0.338,0.329,0.569,3544000
Rhode Island,120000,212000,127000,161000,37,434000,1.8,1.3,230000,0.276,0.293,0.53,212000
South Carolina,490000,1039000,678000,1191000,38,1759000,2.1,1.8,951000,0.278,0.386,0.541,1039000
South Dakota,130000,290000,143000,220000,39,333000,2.2,1.5,219000,0.391,0.428,0.656,290000
Tennessee,770000,1749000,1140000,2157000,40,2583000,2.3,1.9,1540000,0.298,0.441,0.596,1749000
Texas,2544000,5565000,3960000,7163000,41,9002000,2.2,1.8,5265000,0.283,0.44,0.585,5565000
Utah,229000,455000,273000,410000,42,930000,2,1.5,476000,0.246,0.294,0.512,455000
Vermont,131000,234000,100000,142000,43,265000,1.8,1.4,188000,0.495,0.377,0.708,234000
Virginia,876000,1855000,1069000,1699000,44,3017000,2.1,1.6,1611000,0.29,0.354,0.534,1855000
Washington,1028000,1844000,954000,1609000,45,2632000,1.8,1.7,1649000,0.39,0.363,0.627,1844000
West Virginia,291000,628000,350000,648000,46,765000,2.2,1.8,475000,0.381,0.458,0.621,628000
Wisconsin,776000,1510000,796000,1138000,47,2350000,1.9,1.4,1352000,0.33,0.339,0.575,1510000
Wyoming,75000,144000,86000,125000,48,221000,1.9,1.5,137000,0.339,0.388,0.618,144000
